Ligand,Score
CHEMBL1616046_preprocessed_conf4_out.sdf,-1.549
CHEMBL3833314_preprocessed_conf5_out.sdf,-6.815
CHEMBL106_preprocessed_conf7_out.sdf,-3.243
CHEMBL1172_preprocessed_conf5_out.sdf,-4.611
CHEMBL1578_preprocessed_conf8_out.sdf,-3.931
CHEMBL1096885_preprocessed_conf8_out.sdf,-5.008
CHEMBL1200933_preprocessed_conf4_out.sdf,-4.981
CHEMBL279816_preprocessed_conf8_out.sdf,-3.356
CHEMBL535650_preprocessed_conf9_out.sdf,-5.63
CHEMBL1064_preprocessed_conf2_out.sdf,-4.028
CHEMBL1200597_preprocessed_conf6_out.sdf,-3.873
CHEMBL1355_preprocessed_conf2_out.sdf,-3.839
CHEMBL813_preprocessed_conf1_out.sdf,-3.844
CHEMBL306823_preprocessed_conf2_out.sdf,-3.128
CHEMBL4297503_preprocessed_conf3_out.sdf,-4.465
CHEMBL2105611_preprocessed_conf7_out.sdf,-4.476
CHEMBL3084748_preprocessed_conf7_out.sdf,-4.3
CHEMBL1200935_preprocessed_conf1_out.sdf,-5.719
CHEMBL894_preprocessed_conf1_out.sdf,-4.567
CHEMBL1987462_preprocessed_conf8_out.sdf,-3.807
CHEMBL1557_preprocessed_conf6_out.sdf,-5.483
CHEMBL1618102_preprocessed_conf7_out.sdf,-3.609
CHEMBL1200483_preprocessed_conf2_out.sdf,-5.109
CHEMBL191_preprocessed_conf2_out.sdf,-4.426
CHEMBL338975_preprocessed_conf7_out.sdf,-4.602
CHEMBL3833402_preprocessed_conf9_out.sdf,-5.145
CHEMBL1657_preprocessed_conf8_out.sdf,-4.217
CHEMBL639_preprocessed_conf7_out.sdf,-5.082
CHEMBL11662_preprocessed_conf8_out.sdf,-4.2
CHEMBL1201321_preprocessed_conf7_out.sdf,-4.476
CHEMBL3989563_preprocessed_conf2_out.sdf,-5.917
CHEMBL3989915_preprocessed_conf6_out.sdf,-4.868
CHEMBL1200890_preprocessed_conf7_out.sdf,-3.931
CHEMBL1617_preprocessed_conf1_out.sdf,-5.395
CHEMBL93268_preprocessed_conf2_out.sdf,-1.75
CHEMBL343448_preprocessed_conf7_out.sdf,-3.372
CHEMBL834_preprocessed_conf6_out.sdf,-3.225
CHEMBL1742471_preprocessed_conf2_out.sdf,-3.229
CHEMBL3989511_preprocessed_conf8_out.sdf,-6.342
CHEMBL2105717_preprocessed_conf6_out.sdf,-7.328
CHEMBL1324_preprocessed_conf8_out.sdf,-5.036
CHEMBL105_preprocessed_conf2_out.sdf,-3.575
CHEMBL1201256_preprocessed_conf1_out.sdf,-4.875
CHEMBL509_preprocessed_conf1_out.sdf,-4.326
CHEMBL1201046_preprocessed_conf8_out.sdf,-3.538
CHEMBL528_preprocessed_conf7_out.sdf,-3.563
CHEMBL35_preprocessed_conf0_out.sdf,-4.323
CHEMBL1208646_preprocessed_conf4_out.sdf,-4.024
CHEMBL1128_preprocessed_conf0_out.sdf,-4.513
CHEMBL1117_preprocessed_conf8_out.sdf,-4.967
CHEMBL1615779_preprocessed_conf5_out.sdf,-4.22
CHEMBL276568_preprocessed_conf9_out.sdf,-4.539
CHEMBL455_preprocessed_conf9_out.sdf,-5.301
CHEMBL3989857_preprocessed_conf6_out.sdf,-5.495
CHEMBL448_preprocessed_conf2_out.sdf,-3.296
CHEMBL1650443_preprocessed_conf9_out.sdf,-3.428
CHEMBL443605_preprocessed_conf4_out.sdf,-3.617
CHEMBL1201104_preprocessed_conf1_out.sdf,-3.579
CHEMBL1201891_preprocessed_conf8_out.sdf,-4.289
CHEMBL1909286_preprocessed_conf9_out.sdf,-5.195
CHEMBL235668_preprocessed_conf7_out.sdf,-4.286
CHEMBL2218896_preprocessed_conf1_out.sdf,-4.442
CHEMBL311498_preprocessed_conf0_out.sdf,-4.745
CHEMBL1739_preprocessed_conf7_out.sdf,-5.1
CHEMBL953_preprocessed_conf2_out.sdf,-3.991
CHEMBL1256786_preprocessed_conf2_out.sdf,-6.433
CHEMBL2103741_preprocessed_conf8_out.sdf,-3.757
CHEMBL1201765_preprocessed_conf7_out.sdf,-5.416
CHEMBL902_preprocessed_conf1_out.sdf,-3.41
CHEMBL1200798_preprocessed_conf8_out.sdf,-4.698
CHEMBL2096642_preprocessed_conf3_out.sdf,-4.771
CHEMBL18442_preprocessed_conf0_out.sdf,-3.654
CHEMBL3137330_preprocessed_conf6_out.sdf,-4.65
CHEMBL101_preprocessed_conf1_out.sdf,-4.723
CHEMBL3990047_preprocessed_conf0_out.sdf,-4.251
CHEMBL277474_preprocessed_conf0_out.sdf,-3.737
CHEMBL1213351_preprocessed_conf6_out.sdf,-4.121
CHEMBL3989850_preprocessed_conf7_out.sdf,-4.716
CHEMBL3414621_preprocessed_conf9_out.sdf,-4.37
CHEMBL1088977_preprocessed_conf7_out.sdf,-4.319
CHEMBL130_preprocessed_conf6_out.sdf,-3.604
CHEMBL1177_preprocessed_conf2_out.sdf,-5.207
CHEMBL1201142_preprocessed_conf4_out.sdf,-5.496
CHEMBL278172_preprocessed_conf0_out.sdf,-5.822
CHEMBL1018_preprocessed_conf7_out.sdf,-4.632
CHEMBL527_preprocessed_conf3_out.sdf,-3.781
CHEMBL3545058_preprocessed_conf6_out.sdf,-3.915
CHEMBL2028019_preprocessed_conf3_out.sdf,-3.686
CHEMBL1387_preprocessed_conf4_out.sdf,-4.983
CHEMBL918_preprocessed_conf2_out.sdf,-5.204
CHEMBL1068_preprocessed_conf1_out.sdf,-4.286
CHEMBL1712842_preprocessed_conf1_out.sdf,-5.198
CHEMBL3989478_preprocessed_conf6_out.sdf,-5.29
CHEMBL603_preprocessed_conf5_out.sdf,-5.516
CHEMBL1614637_preprocessed_conf9_out.sdf,-4.029
CHEMBL92870_preprocessed_conf0_out.sdf,-4.933
CHEMBL571546_preprocessed_conf6_out.sdf,-6.537
CHEMBL2000813_preprocessed_conf2_out.sdf,-4.744
CHEMBL450449_preprocessed_conf9_out.sdf,-4.565
CHEMBL1200387_preprocessed_conf3_out.sdf,-9.149
CHEMBL1051_preprocessed_conf0_out.sdf,-4.833
CHEMBL1201165_preprocessed_conf4_out.sdf,-5.351
CHEMBL561157_preprocessed_conf1_out.sdf,-4.676
CHEMBL1729_preprocessed_conf0_out.sdf,-4.828
CHEMBL995_preprocessed_conf2_out.sdf,-4.699
CHEMBL3707330_preprocessed_conf9_out.sdf,-5.17
CHEMBL3039567_preprocessed_conf6_out.sdf,-3.109
CHEMBL490665_preprocessed_conf4_out.sdf,-4.309
CHEMBL1671_preprocessed_conf5_out.sdf,-4.389
CHEMBL460_preprocessed_conf0_out.sdf,-4.287
CHEMBL945_preprocessed_conf4_out.sdf,-4.048
CHEMBL584_preprocessed_conf7_out.sdf,-4.584
CHEMBL178_preprocessed_conf7_out.sdf,-4.859
CHEMBL1364551_preprocessed_conf2_out.sdf,-7.24
CHEMBL617_preprocessed_conf7_out.sdf,-3.992
CHEMBL1455497_preprocessed_conf8_out.sdf,-3.096
CHEMBL1094966_preprocessed_conf7_out.sdf,-3.879
CHEMBL46058_preprocessed_conf0_out.sdf,-2.469
CHEMBL110_preprocessed_conf5_out.sdf,-4.297
CHEMBL2105904_preprocessed_conf7_out.sdf,-3.452
CHEMBL4297610_preprocessed_conf7_out.sdf,-4.665
CHEMBL2023898_preprocessed_conf6_out.sdf,-3.368
CHEMBL1410743_preprocessed_conf1_out.sdf,-3.159
