Ligand,Score
CHEMBL1616046_preprocessed_conf4_out.sdf,-1.295
CHEMBL3833314_preprocessed_conf5_out.sdf,-0.583
CHEMBL106_preprocessed_conf7_out.sdf,-3.777
CHEMBL1172_preprocessed_conf5_out.sdf,-5.389
CHEMBL1578_preprocessed_conf8_out.sdf,-3.823
CHEMBL1096885_preprocessed_conf8_out.sdf,-2.355
CHEMBL1200933_preprocessed_conf4_out.sdf,-4.68
CHEMBL279816_preprocessed_conf8_out.sdf,-2.266
CHEMBL535650_preprocessed_conf9_out.sdf,-4.755
CHEMBL1064_preprocessed_conf2_out.sdf,-3.933
CHEMBL1200597_preprocessed_conf6_out.sdf,-3.993
CHEMBL1355_preprocessed_conf2_out.sdf,-2.752
CHEMBL813_preprocessed_conf1_out.sdf,-4.033
CHEMBL306823_preprocessed_conf2_out.sdf,-2.271
CHEMBL4297503_preprocessed_conf3_out.sdf,-4.891
CHEMBL2105611_preprocessed_conf7_out.sdf,-3.906
CHEMBL3301611_preprocessed_conf6_out.sdf,-2.151
CHEMBL3084748_preprocessed_conf7_out.sdf,-4.129
CHEMBL1200935_preprocessed_conf1_out.sdf,-4.154
CHEMBL894_preprocessed_conf1_out.sdf,-4.475
CHEMBL1987462_preprocessed_conf8_out.sdf,-4.108
CHEMBL1557_preprocessed_conf6_out.sdf,-3.519
CHEMBL1618102_preprocessed_conf7_out.sdf,-3.839
CHEMBL1200483_preprocessed_conf2_out.sdf,-4.187
CHEMBL191_preprocessed_conf2_out.sdf,-4.449
CHEMBL338975_preprocessed_conf7_out.sdf,-3.562
CHEMBL3833402_preprocessed_conf9_out.sdf,-1.835
CHEMBL1657_preprocessed_conf8_out.sdf,-3.819
CHEMBL639_preprocessed_conf7_out.sdf,-4.623
CHEMBL11662_preprocessed_conf8_out.sdf,-4.353
CHEMBL1201321_preprocessed_conf7_out.sdf,-4.568
CHEMBL3989563_preprocessed_conf2_out.sdf,-3.597
CHEMBL1200890_preprocessed_conf7_out.sdf,-3.757
CHEMBL1617_preprocessed_conf1_out.sdf,4.332
CHEMBL93268_preprocessed_conf2_out.sdf,-1.456
CHEMBL343448_preprocessed_conf7_out.sdf,-3.629
CHEMBL834_preprocessed_conf6_out.sdf,-2.458
CHEMBL1742471_preprocessed_conf2_out.sdf,-3.98
CHEMBL3989511_preprocessed_conf8_out.sdf,-3.773
CHEMBL1324_preprocessed_conf8_out.sdf,-4.58
CHEMBL105_preprocessed_conf2_out.sdf,-3.298
CHEMBL1201256_preprocessed_conf1_out.sdf,-3.959
CHEMBL509_preprocessed_conf1_out.sdf,-4.491
CHEMBL1201046_preprocessed_conf8_out.sdf,-3.57
CHEMBL528_preprocessed_conf7_out.sdf,-3.249
CHEMBL35_preprocessed_conf0_out.sdf,-3.296
CHEMBL1208646_preprocessed_conf4_out.sdf,-2.47
CHEMBL1128_preprocessed_conf0_out.sdf,-3.274
CHEMBL1117_preprocessed_conf8_out.sdf,-4.078
