Ligand,Score
CHEMBL1616046_preprocessed_conf4_out.sdf,-1.333
CHEMBL3833314_preprocessed_conf5_out.sdf,-0.736
CHEMBL106_preprocessed_conf7_out.sdf,-3.05
CHEMBL1172_preprocessed_conf5_out.sdf,-4.11
CHEMBL1578_preprocessed_conf8_out.sdf,-3.102
CHEMBL1096885_preprocessed_conf8_out.sdf,-5.368
CHEMBL1200933_preprocessed_conf4_out.sdf,-4.575
CHEMBL279816_preprocessed_conf8_out.sdf,-2.132
CHEMBL535650_preprocessed_conf9_out.sdf,-4.431
CHEMBL1064_preprocessed_conf2_out.sdf,-3.567
CHEMBL1200597_preprocessed_conf6_out.sdf,-3.164
CHEMBL1355_preprocessed_conf2_out.sdf,-2.463
CHEMBL813_preprocessed_conf1_out.sdf,-3.707
CHEMBL306823_preprocessed_conf2_out.sdf,-2.208
CHEMBL4297503_preprocessed_conf3_out.sdf,-3.745
CHEMBL2105611_preprocessed_conf7_out.sdf,-3.9
CHEMBL3301611_preprocessed_conf6_out.sdf,-2.208
CHEMBL3084748_preprocessed_conf7_out.sdf,-3.468
CHEMBL1200935_preprocessed_conf1_out.sdf,-4.099
CHEMBL894_preprocessed_conf1_out.sdf,-3.432
CHEMBL1987462_preprocessed_conf8_out.sdf,-2.952
CHEMBL1557_preprocessed_conf6_out.sdf,-2.972
CHEMBL1618102_preprocessed_conf7_out.sdf,-3.495
CHEMBL1200483_preprocessed_conf2_out.sdf,-3.253
CHEMBL191_preprocessed_conf2_out.sdf,-4.539
CHEMBL338975_preprocessed_conf7_out.sdf,-3.335
CHEMBL3833402_preprocessed_conf9_out.sdf,-1.588
CHEMBL1657_preprocessed_conf8_out.sdf,-4.058
CHEMBL639_preprocessed_conf7_out.sdf,-4.097
CHEMBL11662_preprocessed_conf8_out.sdf,-3.29
CHEMBL1201321_preprocessed_conf7_out.sdf,-4.42
CHEMBL3989563_preprocessed_conf2_out.sdf,-2.598
CHEMBL3989915_preprocessed_conf6_out.sdf,-4.335
CHEMBL1200890_preprocessed_conf7_out.sdf,-3.902
CHEMBL1617_preprocessed_conf1_out.sdf,-4.015
CHEMBL93268_preprocessed_conf2_out.sdf,-1.476
CHEMBL343448_preprocessed_conf7_out.sdf,-3.548
CHEMBL834_preprocessed_conf6_out.sdf,-2.442
CHEMBL1742471_preprocessed_conf2_out.sdf,-3.153
CHEMBL3989511_preprocessed_conf8_out.sdf,-3.09
CHEMBL1324_preprocessed_conf8_out.sdf,-3.669
CHEMBL105_preprocessed_conf2_out.sdf,-3.595
CHEMBL1201256_preprocessed_conf1_out.sdf,-3.415
CHEMBL509_preprocessed_conf1_out.sdf,-3.499
CHEMBL1201046_preprocessed_conf8_out.sdf,-3.44
CHEMBL528_preprocessed_conf7_out.sdf,-3.423
CHEMBL35_preprocessed_conf0_out.sdf,-3.313
CHEMBL1208646_preprocessed_conf4_out.sdf,-2.434
CHEMBL1128_preprocessed_conf0_out.sdf,-2.875
CHEMBL1117_preprocessed_conf8_out.sdf,-4.519
CHEMBL1615779_preprocessed_conf5_out.sdf,-3.151
CHEMBL276568_preprocessed_conf9_out.sdf,-4.128
CHEMBL455_preprocessed_conf9_out.sdf,-3.133
CHEMBL3989857_preprocessed_conf6_out.sdf,-1.571
